mirna,GSM4654614_P1,GSM4654615_P2,GSM4654616_P3,GSM4654617_P4,GSM4654618_P5,GSM4654619_P6,GSM4654620_N1,GSM4654621_N2,GSM4654622_N3
hsa-miR-3909,25,42,22,10,22,41,28,33,54
hsa-miR-3910,0,0,0,0,0,0,0,0,0
hsa-miR-3911,1,0,0,0,2,0,1,1,0
hsa-miR-3912-3p,4,1,16,0,1,1,0,5,0
hsa-miR-3912-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3913-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3913-5p,16,32,65,5,27,28,5,16,30
hsa-miR-3914,0,0,0,0,0,0,0,0,0
hsa-miR-3915,0,0,0,0,0,0,0,0,0
hsa-miR-3916,0,0,0,0,0,0,0,0,0
hsa-miR-3917,0,0,0,0,0,0,0,0,0
hsa-miR-3918,0,1,2,0,0,6,2,3,0
hsa-miR-3919,0,0,0,0,0,0,0,0,0
hsa-miR-3920,11,2,0,2,4,0,0,0,0
hsa-miR-3921,0,0,0,0,0,0,0,0,0
hsa-miR-3922-3p,0,0,0,0,1,0,0,0,0
hsa-miR-3922-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3923,0,0,0,0,0,0,0,0,0
hsa-miR-3924,0,0,0,0,0,0,0,0,0
hsa-miR-3925-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3925-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3926,0,0,0,0,0,0,0,0,0
hsa-miR-3927-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3927-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3928-3p,11,3,5,4,8,30,6,6,5
hsa-miR-3928-5p,0,0,0,0,0,0,0,0,0
hsa-miR-3929,0,0,0,0,0,0,0,0,0
hsa-miR-3934-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3934-5p,0,4,8,2,0,1,17,2,20
hsa-miR-3935,0,0,0,0,0,0,0,0,0
hsa-miR-3936,3,0,5,0,0,6,5,0,0
hsa-miR-3937,0,0,0,0,0,0,0,0,0
hsa-miR-3938,1,2,0,0,0,0,0,0,0
hsa-miR-3939,3,0,16,0,1,6,3,3,1
hsa-miR-3940-3p,0,0,4,2,0,0,3,3,0
hsa-miR-3940-5p,0,0,0,0,0,0,0,1,0
hsa-miR-3941,0,0,0,0,0,0,0,0,0
hsa-miR-3942-3p,0,0,0,0,0,0,0,0,0
hsa-miR-3942-5p,2,0,2,3,0,0,0,0,0
hsa-miR-3943,0,0,0,0,0,0,0,0,0
hsa-miR-3944-3p,0,0,2,1,0,1,7,6,1
hsa-miR-3944-5p,1,0,0,0,0,1,0,0,0
hsa-miR-3945,0,0,0,0,0,0,0,0,0
hsa-miR-3960,0,0,0,0,0,0,0,0,0
hsa-miR-3972,0,0,0,0,0,0,0,0,0
hsa-miR-3973,0,0,0,0,0,0,0,0,0
hsa-miR-3974,0,0,0,0,0,0,0,0,0
hsa-miR-3975,0,0,0,0,0,0,0,0,0
hsa-miR-3976,0,0,0,0,0,0,0,0,0
hsa-miR-3977,0,0,0,0,0,0,0,0,0
hsa-miR-3978,0,0,0,0,0,0,0,0,0
hsa-miR-4251,0,0,0,0,0,0,0,0,0
hsa-miR-4252,0,0,0,0,0,0,0,0,0
hsa-miR-4253,0,0,0,0,0,0,0,0,0
hsa-miR-4254,0,0,0,0,0,0,0,0,0
hsa-miR-4255,0,0,0,0,0,0,0,0,0
hsa-miR-4256,0,0,0,0,0,0,0,0,0
hsa-miR-4257,0,0,0,0,0,0,0,0,0
hsa-miR-4258,0,0,0,0,0,0,0,0,0
hsa-miR-4259,0,0,0,0,0,0,0,0,0
hsa-miR-4260,0,0,0,0,0,0,0,0,0
hsa-miR-4261,0,0,0,0,0,0,0,0,0
hsa-miR-4262,0,0,0,0,0,0,0,0,0
hsa-miR-4263,0,0,0,0,0,0,0,0,0
hsa-miR-4264,0,0,0,0,0,0,0,0,0
hsa-miR-4265,0,0,0,0,0,0,0,0,0
hsa-miR-4266,0,0,0,0,0,0,0,0,0
hsa-miR-4267,0,0,0,0,0,0,0,0,0
hsa-miR-4268,0,0,0,0,0,0,0,0,0
hsa-miR-4269,0,0,0,0,0,0,0,0,0
hsa-miR-4270,0,0,0,0,0,0,0,0,0
hsa-miR-4271,0,0,0,0,0,0,0,0,0
hsa-miR-4272,0,0,0,0,0,0,0,0,0
hsa-miR-4273,0,0,0,0,0,0,0,0,0
hsa-miR-4274,0,0,0,0,0,0,0,0,0
hsa-miR-4275,0,0,0,0,0,0,0,0,0
hsa-miR-4276,0,0,0,0,0,0,0,0,0
hsa-miR-4277,0,0,0,0,0,0,0,0,0
hsa-miR-4278,0,0,0,0,0,0,0,0,0
hsa-miR-4279,0,0,0,0,0,0,0,0,0
hsa-miR-4280,0,0,0,0,0,0,0,0,0
hsa-miR-4281,0,0,0,0,0,0,0,0,0
hsa-miR-4282,0,0,0,0,0,0,0,0,0
hsa-miR-4283,0,0,0,0,0,0,0,0,0
hsa-miR-4284,0,0,0,0,0,0,0,0,0
hsa-miR-4285,0,0,0,0,0,0,0,0,0
hsa-miR-4286,0,0,0,0,1,0,0,1,0
hsa-miR-4287,0,0,0,0,0,0,0,0,0
hsa-miR-4288,0,0,0,0,0,0,0,0,0
hsa-miR-4289,0,0,0,0,0,0,0,0,0
hsa-miR-4290,0,0,0,0,0,0,0,0,0
hsa-miR-4291,0,0,0,0,0,0,0,0,0
hsa-miR-4292,0,0,0,0,0,0,0,0,0
hsa-miR-4293,0,0,0,0,0,0,0,0,0
hsa-miR-4294,0,0,0,0,0,0,0,0,0
hsa-miR-4295,0,0,0,0,0,0,0,0,0
hsa-miR-4296,0,0,0,0,0,0,0,0,0
hsa-miR-4297,0,0,0,0,0,0,0,0,0
hsa-miR-4298,0,0,0,0,0,0,0,0,0
hsa-miR-4299,0,0,0,0,0,0,0,0,0
hsa-miR-4300,0,0,0,0,0,0,0,0,0
hsa-miR-4301,0,0,0,0,0,0,0,0,0
hsa-miR-4302,0,0,0,0,0,0,0,0,0
hsa-miR-4303,0,0,0,0,0,0,0,0,0
hsa-miR-4304,0,0,0,0,0,0,0,0,0
hsa-miR-4305,0,0,0,0,0,0,0,0,0
hsa-miR-4306,0,2,1,0,0,0,0,0,0
hsa-miR-4307,0,0,0,0,0,0,0,0,0
hsa-miR-4308,0,0,0,0,0,0,0,0,0
hsa-miR-4309,0,0,0,0,0,0,0,0,0
hsa-miR-4310,0,0,0,0,0,0,0,0,0
hsa-miR-4311,0,0,0,0,0,0,0,0,0
hsa-miR-4312,0,0,0,0,0,0,0,0,0
hsa-miR-4313,0,0,0,0,0,0,0,0,0
hsa-miR-4314,0,0,0,0,0,0,0,0,0
hsa-miR-4315,0,0,0,0,0,0,0,0,0
hsa-miR-4316,0,0,0,0,0,0,0,0,0
hsa-miR-4317,0,0,0,0,0,0,0,0,0
hsa-miR-4318,0,0,0,0,0,0,0,0,0
hsa-miR-4319,0,0,0,0,0,0,0,0,0
hsa-miR-4320,0,0,0,0,0,0,0,0,0
hsa-miR-4321,0,0,0,0,0,0,0,0,0
hsa-miR-4322,0,0,0,0,0,0,0,0,0
hsa-miR-4323,0,0,0,0,0,0,0,0,0
hsa-miR-4324,0,0,0,0,0,0,0,0,0
hsa-miR-4325,0,0,0,0,0,0,0,0,0
hsa-miR-4326,1,4,8,6,0,2,40,8,6
hsa-miR-4327,0,0,0,0,0,0,0,0,0
hsa-miR-4328,0,0,0,0,0,0,0,0,0
hsa-miR-4329,0,0,0,0,0,0,0,0,0
hsa-miR-4330,0,0,0,0,0,0,0,0,0
hsa-miR-4417,0,0,0,0,0,0,0,0,0
hsa-miR-4418,0,0,0,0,0,0,0,0,0
hsa-miR-4419a,0,0,0,0,0,0,0,0,0
hsa-miR-4419b,0,0,0,0,0,0,0,0,0
hsa-miR-4420,0,0,0,0,0,0,0,0,0
hsa-miR-4421,0,0,0,0,0,0,0,0,0
hsa-miR-4422,0,0,0,0,0,0,0,0,0
hsa-miR-4423-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4423-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4424,0,0,0,0,0,0,1,0,0
hsa-miR-4425,0,0,2,0,0,0,0,0,0
hsa-miR-4426,0,0,0,0,0,0,0,0,0
hsa-miR-4427,0,0,0,0,0,0,0,0,0
hsa-miR-4428,0,0,0,0,0,0,0,0,0
hsa-miR-4429,4,9,30,13,8,33,23,17,16
hsa-miR-4430,0,0,0,0,0,0,0,0,0
hsa-miR-4431,0,0,0,0,0,0,0,0,0
hsa-miR-4432,0,0,0,0,0,0,0,0,0
hsa-miR-4433-3p,13,2,4,0,10,7,0,0,17
hsa-miR-4433-5p,0,1,0,0,0,2,0,0,0
hsa-miR-4433b-3p,5651,741,761,791,1693,792,454,202,1666
hsa-miR-4433b-5p,177,31,36,18,216,21,13,36,74
hsa-miR-4434,0,0,0,0,0,0,0,0,0
hsa-miR-4435,22,13,28,5,10,29,15,8,13
hsa-miR-4436a,0,0,0,0,0,2,2,0,0
hsa-miR-4436b-3p,0,2,0,1,2,2,3,0,0
hsa-miR-4436b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4437,1,2,0,1,0,0,5,0,0
hsa-miR-4438,0,0,0,0,0,0,0,0,0
hsa-miR-4439,0,0,0,0,0,0,0,0,0
hsa-miR-4440,2,0,11,0,1,10,0,0,2
hsa-miR-4441,0,0,0,0,0,0,0,0,0
hsa-miR-4442,0,0,0,0,0,0,0,0,0
hsa-miR-4443,5,8,8,1,0,11,7,13,10
hsa-miR-4444,0,0,0,0,0,0,0,0,0
hsa-miR-4445-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4445-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4446-3p,971,324,278,626,469,144,108,154,225
hsa-miR-4446-5p,0,0,0,2,0,0,0,0,0
hsa-miR-4447,0,0,0,0,0,0,0,0,0
hsa-miR-4448,0,0,0,0,0,0,0,0,0
hsa-miR-4449,0,2,0,1,0,1,5,4,1
hsa-miR-4450,0,0,0,0,0,0,0,0,0
hsa-miR-4451,0,0,0,0,0,0,0,0,0
hsa-miR-4452,0,0,0,0,0,0,0,0,0
hsa-miR-4453,0,0,0,0,0,0,0,0,0
hsa-miR-4454,0,0,0,0,0,0,0,0,0
hsa-miR-4455,0,0,0,0,0,0,0,0,0
hsa-miR-4456,0,0,0,0,0,0,0,0,0
hsa-miR-4457,0,0,4,0,0,0,0,0,0
hsa-miR-4458,0,0,0,0,0,0,0,0,0
hsa-miR-4459,0,0,0,0,0,0,0,0,0
hsa-miR-4460,0,0,0,0,0,0,0,0,0
hsa-miR-4461,0,0,0,0,0,0,0,0,0
hsa-miR-4462,0,0,0,0,0,0,0,0,0
hsa-miR-4463,0,0,0,0,0,0,0,0,0
hsa-miR-4464,0,0,0,0,0,0,0,0,0
hsa-miR-4465,0,0,0,0,0,0,0,0,0
hsa-miR-4466,1,0,1,0,0,4,1,5,1
hsa-miR-4467,8,52,3,3,1,12,7,8,0
hsa-miR-4468,0,0,0,0,0,0,0,0,0
hsa-miR-4469,0,0,0,0,0,0,0,0,0
hsa-miR-4470,5,7,0,2,4,0,0,0,6
hsa-miR-4471,0,0,0,0,0,0,0,0,0
hsa-miR-4472,0,0,0,0,0,0,0,0,0
hsa-miR-4473,14,12,15,8,12,35,25,23,16
hsa-miR-4474-3p,0,1,7,0,0,0,1,0,0
hsa-miR-4474-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4475,0,0,0,0,0,0,0,0,0
hsa-miR-4476,0,0,0,0,0,0,0,0,0
hsa-miR-4477a,0,0,0,0,0,0,0,0,0
hsa-miR-4477b,0,0,0,0,0,0,0,0,0
hsa-miR-4478,0,0,0,0,0,0,0,0,0
hsa-miR-4479,2,0,5,0,2,0,2,1,1
hsa-miR-4480,0,0,0,0,0,0,0,0,0
hsa-miR-4481,0,0,0,0,0,0,0,0,0
hsa-miR-4482-3p,1,12,0,0,0,0,0,2,0
hsa-miR-4482-5p,0,3,0,1,0,0,0,0,0
hsa-miR-4483,0,0,0,0,0,0,0,0,0
hsa-miR-4484,0,0,0,0,0,0,0,0,0
hsa-miR-4485,0,0,0,0,0,0,0,0,0
hsa-miR-4486,0,0,0,0,0,1,0,0,0
hsa-miR-4487,0,0,0,0,0,0,0,0,0
hsa-miR-4488,1,0,0,0,0,0,0,0,0
hsa-miR-4489,13,9,21,4,8,11,15,9,1
hsa-miR-4490,0,0,0,0,0,0,0,0,0
hsa-miR-4491,0,2,0,0,0,0,0,0,0
hsa-miR-4492,0,0,0,0,0,0,0,0,0
hsa-miR-4493,0,0,0,0,0,2,0,0,0
hsa-miR-4494,0,0,0,0,0,0,0,0,0
hsa-miR-4495,0,0,0,0,0,0,0,0,0
hsa-miR-4496,0,0,0,0,0,0,0,0,0
hsa-miR-4497,0,0,0,0,0,0,0,0,0
hsa-miR-4498,0,1,0,0,2,0,2,0,5
hsa-miR-4499,0,0,0,0,0,0,0,0,0
hsa-miR-4500,0,0,0,0,0,0,0,0,0
hsa-miR-4501,0,0,0,0,0,0,0,0,0
hsa-miR-4502,0,0,0,0,0,0,0,0,0
hsa-miR-4503,0,0,0,0,2,0,0,0,0
hsa-miR-4504,21,25,44,11,8,27,21,7,33
hsa-miR-4505,0,0,0,0,0,0,0,0,0
hsa-miR-4506,0,0,0,0,0,0,0,3,0
hsa-miR-4507,0,0,0,0,0,0,0,0,0
hsa-miR-4508,0,0,0,0,0,0,2,0,0
hsa-miR-4509,0,0,0,0,0,0,0,0,0
hsa-miR-4510,0,0,0,0,0,0,1,0,0
hsa-miR-4511,16,3,19,5,7,23,2,2,21
hsa-miR-4512,0,0,0,0,0,0,3,0,0
hsa-miR-4513,0,0,0,0,0,0,0,0,0
hsa-miR-4514,0,0,0,0,0,0,0,0,0
hsa-miR-4515,0,0,0,0,0,0,1,0,0
hsa-miR-4516,0,0,0,0,0,1,0,0,0
hsa-miR-4517,0,0,0,0,0,0,0,0,0
hsa-miR-4518,0,0,0,0,0,0,0,0,0
hsa-miR-4519,0,0,0,0,0,0,0,0,0
hsa-miR-4520a-3p,0,0,4,0,0,0,0,0,9
hsa-miR-4520a-5p,1,0,0,0,0,0,0,0,0
hsa-miR-4520b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4520b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4521,0,0,0,0,1,0,0,0,0
hsa-miR-4522,1,0,0,0,4,0,0,0,0
hsa-miR-4523,0,0,0,0,1,0,0,0,0
hsa-miR-4524a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4524a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4524b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4524b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4525,0,0,0,0,0,4,0,0,0
hsa-miR-4526,0,0,0,0,0,0,0,0,0
hsa-miR-4527,0,0,0,0,0,0,0,0,0
hsa-miR-4528,0,0,0,0,0,0,0,0,0
hsa-miR-4529-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4529-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4530,0,0,0,0,0,0,0,0,0
hsa-miR-4531,0,0,0,0,0,0,0,0,0
hsa-miR-4532,0,0,0,0,0,0,0,0,0
hsa-miR-4533,10,1,15,4,9,8,0,0,0
hsa-miR-4534,0,0,0,0,0,0,0,0,0
hsa-miR-4535,0,0,0,0,0,0,0,0,0
hsa-miR-4536-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4536-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4537,0,0,0,0,0,0,0,0,0
hsa-miR-4538,0,0,0,0,0,0,0,0,0
hsa-miR-4539,0,0,0,0,0,0,0,0,0
hsa-miR-4540,0,0,0,0,0,0,0,0,0
hsa-miR-4632-3p,1,0,0,0,0,0,0,0,0
hsa-miR-4632-5p,0,1,0,0,0,0,1,0,0
hsa-miR-4633-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4633-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4634,0,0,0,0,0,0,0,0,0
hsa-miR-4635,2,0,2,0,0,0,0,2,0
hsa-miR-4636,0,0,0,0,0,0,0,0,0
hsa-miR-4637,0,1,1,1,1,8,0,0,0
hsa-miR-4638-3p,1,1,1,0,0,0,0,0,0
hsa-miR-4638-5p,8,2,3,2,4,6,4,5,0
hsa-miR-4639-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4639-5p,1,0,0,0,1,1,0,1,0
hsa-miR-4640-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4640-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4641,0,0,0,0,0,0,0,0,0
hsa-miR-4642,0,0,0,0,0,0,0,0,0
hsa-miR-4643,0,0,0,0,0,0,0,0,0
hsa-miR-4644,2,0,0,0,0,1,0,0,0
hsa-miR-4645-3p,6,4,5,4,9,0,0,3,0
hsa-miR-4645-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4646-3p,0,0,0,0,0,0,0,1,0
hsa-miR-4646-5p,16,16,23,5,2,23,3,9,4
hsa-miR-4647,7,4,22,8,6,6,14,1,0
hsa-miR-4648,0,0,0,0,0,0,2,0,4
hsa-miR-4649-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4649-5p,0,0,0,2,2,0,0,0,0
hsa-miR-4650-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4650-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4651,0,0,0,0,0,0,0,0,0
hsa-miR-4652-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4652-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4653-3p,0,0,0,0,0,1,0,0,0
hsa-miR-4653-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4654,7,4,0,2,2,0,0,6,2
hsa-miR-4655-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4655-5p,1,0,2,0,0,0,0,6,3
hsa-miR-4656,0,0,0,0,0,0,0,0,0
hsa-miR-4657,0,12,6,1,7,10,4,2,5
hsa-miR-4658,1,0,0,1,0,0,0,0,0
hsa-miR-4659a-3p,9,9,28,6,6,7,19,9,20
hsa-miR-4659a-5p,0,0,0,1,0,0,0,0,0
hsa-miR-4659b-3p,8,10,14,8,3,3,4,2,3
hsa-miR-4659b-5p,0,0,0,0,2,0,0,0,0
hsa-miR-4660,0,3,12,2,1,1,2,2,1
hsa-miR-4661-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4661-5p,11,7,21,3,11,9,24,9,3
hsa-miR-4662a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4662a-5p,8,3,0,5,6,6,0,0,0
hsa-miR-4662b,0,0,0,0,0,0,0,0,0
hsa-miR-4663,0,0,0,0,0,1,0,0,0
hsa-miR-4664-3p,11,6,8,14,7,4,3,5,6
hsa-miR-4664-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4665-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4665-5p,87,17,16,23,26,36,6,16,20
hsa-miR-4666a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4666a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4666b,0,0,0,0,0,0,0,0,0
hsa-miR-4667-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4667-5p,1,1,15,0,2,0,0,2,5
hsa-miR-4668-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4668-5p,0,1,7,0,1,0,9,4,3
hsa-miR-4669,19,21,61,9,0,75,35,10,13
hsa-miR-4670-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4670-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4671-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4671-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4672,0,0,0,1,0,6,2,2,3
hsa-miR-4673,0,0,0,1,0,0,0,0,0
hsa-miR-4674,0,0,0,0,0,0,0,0,2
hsa-miR-4675,0,0,0,0,0,0,0,0,0
hsa-miR-4676-3p,10,0,0,1,0,0,0,0,0
hsa-miR-4676-5p,5,0,0,1,0,0,0,0,0
hsa-miR-4677-3p,6,7,3,2,9,9,8,3,1
hsa-miR-4677-5p,3,0,0,0,2,0,0,2,0
hsa-miR-4678,0,0,0,0,0,0,0,0,0
hsa-miR-4679,0,3,0,0,0,0,0,0,0
hsa-miR-4680-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4680-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4681,0,0,0,0,0,0,0,0,0
hsa-miR-4682,0,0,0,0,0,0,0,0,0
hsa-miR-4683,4,1,9,0,0,0,0,1,0
hsa-miR-4684-3p,0,0,0,0,0,7,0,0,0
hsa-miR-4684-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4685-3p,1,0,11,0,4,0,6,5,1
hsa-miR-4685-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4686,4,0,0,2,0,0,3,4,0
hsa-miR-4687-3p,0,0,1,1,1,0,0,0,1
hsa-miR-4687-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4688,4,3,2,1,1,0,0,0,0
hsa-miR-4689,2,0,0,0,0,1,0,0,0
hsa-miR-4690-3p,2,5,10,7,3,5,0,0,3
hsa-miR-4690-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4691-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4691-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4692,0,0,0,0,0,0,0,0,0
hsa-miR-4693-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4693-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4694-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4694-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4695-3p,0,0,0,0,0,0,2,0,0
hsa-miR-4695-5p,0,0,5,0,0,0,0,0,0
hsa-miR-4696,0,0,0,0,0,0,0,0,0
hsa-miR-4697-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4697-5p,0,0,0,0,1,0,2,0,0
hsa-miR-4698,0,0,0,0,0,2,0,0,0
hsa-miR-4699-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4699-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4700-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4700-5p,0,0,7,0,0,0,1,0,0
hsa-miR-4701-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4701-5p,0,0,0,0,1,0,0,0,0
hsa-miR-4703-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4703-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4704-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4704-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4705,0,0,0,0,0,3,0,0,0
hsa-miR-4706,0,0,0,1,0,0,0,0,0
hsa-miR-4707-3p,4,0,3,3,1,11,3,1,1
hsa-miR-4707-5p,0,0,0,0,1,3,0,0,0
hsa-miR-4708-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4708-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4709-3p,3,2,0,0,1,0,0,0,0
hsa-miR-4709-5p,6,3,0,0,4,0,1,0,0
hsa-miR-4710,2,1,0,4,1,0,0,0,1
hsa-miR-4711-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4711-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4712-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4712-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4713-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4713-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4714-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4714-5p,0,0,3,0,1,5,0,0,0
hsa-miR-4715-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4715-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4716-3p,0,2,0,0,0,1,0,0,0
hsa-miR-4716-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4717-3p,0,0,0,0,0,1,2,3,0
hsa-miR-4717-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4718,0,0,0,0,0,0,0,0,0
hsa-miR-4719,0,0,0,0,0,0,0,0,0
hsa-miR-4720-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4720-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4721,1,2,3,0,0,0,0,0,0
hsa-miR-4722-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4722-5p,0,2,0,0,0,0,0,0,0
hsa-miR-4723-3p,1,0,0,0,0,0,0,0,0
hsa-miR-4723-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4724-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4724-5p,0,0,5,0,0,0,5,0,1
hsa-miR-4725-3p,0,0,0,0,0,0,0,3,0
hsa-miR-4725-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4726-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4726-5p,4,4,0,1,3,0,0,0,0
hsa-miR-4727-3p,0,2,0,0,0,1,2,2,1
hsa-miR-4727-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4728-3p,0,0,4,0,0,0,0,0,0
hsa-miR-4728-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4729,0,0,0,0,0,0,0,0,0
hsa-miR-4730,0,0,0,0,0,0,0,0,0
hsa-miR-4731-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4731-5p,0,6,4,0,0,2,2,5,0
hsa-miR-4732-3p,105,168,290,43,18,412,353,289,384
hsa-miR-4732-5p,261,882,975,104,125,1214,817,689,733
hsa-miR-4733-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4733-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4734,0,0,0,0,0,0,0,1,0
hsa-miR-4735-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4735-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4736,0,0,0,0,0,0,0,0,0
hsa-miR-4737,0,0,0,0,0,0,0,0,0
hsa-miR-4738-3p,5,18,21,12,4,3,9,14,12
hsa-miR-4738-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4739,0,0,0,0,0,0,0,0,0
hsa-miR-4740-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4740-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4741,3,0,0,0,2,6,1,2,0
hsa-miR-4742-3p,11,30,26,2,1,17,11,12,12
hsa-miR-4742-5p,3,0,0,0,2,0,0,0,2
hsa-miR-4743-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4743-5p,0,2,0,3,8,0,0,0,0
hsa-miR-4744,0,1,4,0,1,0,0,0,0
hsa-miR-4745-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4745-5p,1,1,3,0,1,2,0,0,3
hsa-miR-4746-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4746-5p,89,87,62,20,36,79,94,30,61
hsa-miR-4747-3p,0,0,0,0,0,0,3,0,0
hsa-miR-4747-5p,3,10,6,2,2,0,12,6,11
hsa-miR-4748,2,0,1,0,2,0,1,1,0
hsa-miR-4749-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4749-5p,0,0,0,0,0,0,0,0,0
hsa-miR-4750-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4750-5p,36,13,18,5,15,22,17,11,13
hsa-miR-4751,0,0,0,0,0,0,0,0,0
hsa-miR-4752,0,0,0,0,0,0,0,0,0
hsa-miR-4753-3p,0,0,0,0,0,0,0,0,0
hsa-miR-4753-5p,0,2,0,0,2,2,1,7,0
hsa-miR-4754,0,0,0,0,1,0,3,0,4
hsa-miR-4755-3p,0,5,16,3,2,12,2,11,0
hsa-miR-4755-5p,18,8,35,6,2,23,23,9,13
